segment_index,road_segment_id,name,highway,length_m,madina_flow,flow_distance_km,protected_local_street,major_road
1629,7826,,tertiary,39.023832146734065,0.0,0.0,False,False
1630,7827,,tertiary,64.61094867096877,0.0,0.0,False,False
1631,7828,,tertiary,71.2630674518744,0.0,0.0,False,False
1632,7829,,tertiary,154.2663618752698,0.0,0.0,False,False
1633,7830,,tertiary,132.08582455189048,0.0,0.0,False,False
1634,7831,,tertiary,24.412450444256933,0.0,0.0,False,False
1635,7832,,tertiary,55.93797060131894,0.0,0.0,False,False
1636,7833,,tertiary,74.55331117266269,0.0,0.0,False,False
1637,7834,,tertiary,59.69473998416317,0.0,0.0,False,False
1638,7835,,tertiary,6.486653554412833,0.0,0.0,False,False
1639,7836,,tertiary,26.862590961981013,0.0,0.0,False,False
1640,7837,,tertiary,43.42515545279136,0.0,0.0,False,False
1641,7838,,tertiary,221.0387402485593,0.0,0.0,False,False
1642,7839,,tertiary,121.85837400194258,0.0,0.0,False,False
1643,7840,,tertiary,60.60154039846137,0.0,0.0,False,False
1644,7841,,tertiary,44.4728095860146,0.0,0.0,False,False
1645,7842,,tertiary,44.929176867744246,0.0,0.0,False,False
1646,7843,,tertiary,56.19523477872935,0.0,0.0,False,False
1647,7844,,tertiary,65.79830457562747,0.0,0.0,False,False
1648,7845,,tertiary,84.15767885608359,0.0,0.0,False,False
1649,7846,,tertiary,55.67695274556433,0.0,0.0,False,False
1650,7847,,tertiary,35.65758867098705,0.0,0.0,False,False
1651,7857,,secondary,219.3910082822465,0.0,0.0,False,True
1652,7858,,secondary,156.48460791130165,0.0,0.0,False,True
1653,7859,,secondary,324.9569580436379,0.0,0.0,False,True
1654,7860,,secondary,45.43845171565917,0.0,0.0,False,True
1655,7861,,secondary,236.74768138397488,0.0,0.0,False,True
1656,7862,,secondary,134.22112424078512,0.0,0.0,False,True
1657,7863,,secondary,135.8149530828265,0.0,0.0,False,True
1658,7886,,tertiary,52.4684716515354,0.0,0.0,False,False
1659,7887,,tertiary,39.006078401289294,0.0,0.0,False,False
1660,7888,,tertiary,76.79861584018383,0.0,0.0,False,False
1661,7889,,tertiary,83.93443043286273,0.0,0.0,False,False
1662,7890,,tertiary,14.124719158105854,0.0,0.0,False,False
1663,7891,,tertiary,9.988897035630039,0.0,0.0,False,False
1664,7892,,tertiary,11.255601211927921,0.0,0.0,False,False
1665,7893,,tertiary,116.98175038610374,0.0,0.0,False,False
1666,7894,,tertiary,34.33203061637822,0.0,0.0,False,False
1667,7895,,tertiary,150.76848518967148,0.0,0.0,False,False
1668,8126,,secondary_link,25.805023663466923,0.0,0.0,False,False
1669,8127,,secondary_link,23.47559402384591,0.0,0.0,False,False
1670,8128,,secondary_link,195.87247542474276,0.0,0.0,False,False
1671,8129,,secondary_link,27.901375290251437,0.0,0.0,False,False
1672,8130,,tertiary,26.51659942021556,0.0,0.0,False,False
1673,8131,,tertiary,95.94046187880036,0.0,0.0,False,False
1674,8132,,tertiary,38.6860084103846,0.0,0.0,False,False
1675,8133,,tertiary,46.97350782251159,0.0,0.0,False,False
1676,8134,,tertiary,43.55571666855129,0.0,0.0,False,False
1677,8135,,tertiary,86.93420680104634,0.0,0.0,False,False
1678,8136,,tertiary,45.405375267932655,0.0,0.0,False,False
1679,8137,,motorway,230.63984817357633,0.0,0.0,False,True
1680,8138,,motorway_link,216.8408741538891,0.0,0.0,False,False
1681,8139,,motorway_link,247.79149094934598,0.0,0.0,False,False
1682,8140,,motorway,198.9760484036426,0.0,0.0,False,True
1683,8176,,tertiary,259.49405571122634,0.0,0.0,False,False
1684,8177,,tertiary,57.59387671386317,0.0,0.0,False,False
1685,8178,,tertiary,171.21129593410305,0.0,0.0,False,False
1686,8179,,tertiary,13.559427689658925,0.0,0.0,False,False
1687,8180,,tertiary,75.46963623742657,0.0,0.0,False,False
1688,8181,,tertiary,161.81727540917188,0.0,0.0,False,False
1689,8182,,tertiary,143.4477748478408,0.0,0.0,False,False
1690,8183,,tertiary,410.93002382553294,0.0,0.0,False,False
1691,8184,,tertiary,6.555747271423937,0.0,0.0,False,False
1692,8185,,tertiary,271.384059055325,0.0,0.0,False,False
1693,8186,,tertiary,145.7972115718457,0.0,0.0,False,False
1694,8187,,tertiary,59.66016534792363,0.0,0.0,False,False
1695,8188,,tertiary,87.66801995710047,0.0,0.0,False,False
1696,8189,,tertiary,68.22150775309763,0.0,0.0,False,False
1697,8190,,tertiary,129.209338578302,0.0,0.0,False,False
1698,8191,,tertiary,32.08996624433024,0.0,0.0,False,False
1699,8192,,tertiary,13.598026168300064,0.0,0.0,False,False
1700,8193,,tertiary,199.1928375918893,0.0,0.0,False,False
1701,8194,,tertiary,217.7680311537949,0.0,0.0,False,False
1702,8195,,tertiary,207.29819774970989,0.0,0.0,False,False
1703,8196,,tertiary,203.94485945618675,0.0,0.0,False,False
1704,8197,,tertiary,89.63314085257073,0.0,0.0,False,False
1705,8198,,tertiary,126.75744194251318,0.0,0.0,False,False
1706,8199,,tertiary,38.90521130078877,0.0,0.0,False,False
1707,8200,,tertiary,155.50997017246365,0.0,0.0,False,False
1708,8221,,tertiary,126.50681707625188,0.0,0.0,False,False
1709,8222,,tertiary,67.82188269569929,0.0,0.0,False,False
1710,8223,,tertiary,9.073724089949167,0.0,0.0,False,False
