origin_index,endpoint_key,name,demand_weight,accessibility,reachable
91,,,,1.0383474393155259,True
92,,,,0.1555775666364035,True
93,,,,0.0,False
94,,,,1.612154963036596,True
95,,,,1.8958570433103563,True
96,,,,2.562071243315078,True
97,,,,2.5210661662465967,True
98,,,,2.364763310277449,True
99,,,,2.521898843767666,True
100,,,,2.260684345375149,True
101,,,,2.3624012822144826,True
102,,,,2.480788641195615,True
103,,,,2.3271579071888286,True
104,,,,2.254221803460934,True
105,,,,1.7042431334145105,True
106,,,,1.4810303297336564,True
107,,,,1.4810303297336564,True
108,,,,1.0482732162647594,True
109,,,,1.0218379217831155,True
110,,,,1.1989638901102841,True
111,,,,1.2526939730710358,True
112,,,,1.2871004427584496,True
113,,,,1.5859972858900675,True
114,,,,1.3702203633783365,True
115,,,,1.291044528703571,True
116,,,,1.4854243495680537,True
117,,,,1.2305602117730732,True
118,,,,1.1492017337983564,True
119,,,,0.3799640096279243,True
120,,,,0.606798218498781,True
121,,,,0.1560863690649704,True
122,,,,0.13903772380063992,True
123,,,,0.6279019864032277,True
124,,,,0.4975954069680835,True
125,,,,0.5066990838967554,True
126,,,,0.4812649879931791,True
127,,,,0.4554998980799813,True
128,,,,0.14690109649405197,True
129,,,,0.16675053275979176,True
130,,,,0.3129634648682481,True
131,,,,0.15890617617616176,True
132,,,,0.16378702385261823,True
133,,,,0.16695865993782533,True
134,,,,1.7566528919526434,True
135,,,,1.9820609900550734,True
136,,,,0.31193250396124006,True
137,,,,0.3530896152882442,True
138,,,,0.4693454449228717,True
139,,,,0.3696314892531072,True
140,,,,0.41841411597902833,True
141,,,,0.4155651823113141,True
142,,,,0.46757752843932776,True
143,,,,0.5197701428561792,True
144,,,,0.43439695256424116,True
145,,,,1.6232893800458803,True
146,,,,2.102167877453513,True
147,,,,2.302092141747953,True
148,,,,1.6951614080745954,True
149,,,,0.3708538785248965,True
150,,,,0.4786057774260191,True
151,,,,0.32367598851118906,True
152,,,,0.09955928629311794,True
153,,,,0.3344554465725328,True
154,,,,0.3369036057626155,True
155,,,,0.1524613799384793,True
156,,,,0.586674824207003,True
157,,,,1.224345780147014,True
158,,,,1.6232442988665206,True
159,,,,2.316459685924203,True
160,,,,2.207201608074602,True
