segment_index,road_segment_id,name,highway,length_m,madina_flow,flow_distance_km,protected_local_street,major_road
8300,8300,,unclassified,97.40938862105907,0.0,0.0,True,False
8301,8301,,unclassified,70.9790756447129,0.0,0.0,True,False
8302,8302,,unclassified,46.09689172963376,0.0,0.0,True,False
8303,8303,,unclassified,66.73640411357637,0.0,0.0,True,False
8304,8304,,unclassified,47.09489550180133,0.0,0.0,True,False
8305,8305,,unclassified,32.15649212698613,0.0,0.0,True,False
8306,8306,,unclassified,146.03086147032914,0.0,0.0,True,False
8307,8307,,unclassified,127.31816345281128,0.0,0.0,True,False
8308,8308,,unclassified,52.72800362558875,0.0,0.0,True,False
8309,8309,,unclassified,75.77307801419678,0.0,0.0,True,False
8310,8310,,unclassified,67.25292271211885,0.0,0.0,True,False
8311,8311,,unclassified,110.72937900971138,0.0,0.0,True,False
8312,8312,,unclassified,144.35118467237854,0.0,0.0,True,False
8313,8313,,unclassified,170.23929475220183,0.0,0.0,True,False
8314,8314,,unclassified,104.0823719726071,0.0,0.0,True,False
8315,8315,,unclassified,73.26957453564034,0.0,0.0,True,False
8316,8316,,unclassified,51.748698158066226,0.0,0.0,True,False
8317,8317,,unclassified,184.99333314575054,0.0,0.0,True,False
8318,8318,,unclassified,133.5320947796276,0.0,0.0,True,False
8319,8319,,unclassified,70.44182056773406,0.0,0.0,True,False
8320,8320,,unclassified,143.23896066205072,0.29591542596448156,0.04238661805902036,True,False
8321,8321,,unclassified,14.143486632661709,0.29591542596448156,0.00418527587152704,True,False
8322,8322,,unclassified,47.53067538635607,0.0,0.0,True,False
8323,8323,,unclassified,72.59632584757956,0.0,0.0,True,False
8324,8324,,unclassified,109.78113777553216,0.29591542596448156,0.03248593214771203,True,False
8325,8325,,unclassified,84.36699569998969,30.111767556821917,2.5404393639854836,True,False
8326,8326,,residential,84.07533146304591,0.0,0.0,True,False
8327,8327,,unclassified,107.57642947606182,4.357419120753415,0.46875559074137313,True,False
8328,8328,,unclassified,25.427554821708686,2.199232963307672,0.05592111674021468,True,False
8329,8329,,unclassified,48.14434881600131,2.712147077990395,0.1305745549630683,True,False
8330,8330,,unclassified,53.54768813853707,1.4170251117672183,0.07587841876938664,True,False
8331,8331,,unclassified,47.777735288468065,6.580831630809821,0.3144172316348092,True,False
8332,8332,,unclassified,62.48844855869895,0.17303236510792186,0.01081252404603639,True,False
8333,8333,,unclassified,49.304434866950054,5.888647317062514,0.29033642809854887,True,False
8334,8334,,unclassified,272.98237256599435,2.49955388059936,0.6823341486825514,True,False
8335,8335,,unclassified,52.31207853097595,13.916400886234747,0.7279958560292555,True,False
8336,8336,,unclassified,61.6096132270094,12.770423983087882,0.7867808823429692,True,False
8337,8337,,unclassified,27.093959642778746,12.977870010820878,0.3516218863224094,True,False
8338,8338,,unclassified,32.178909647395415,10.255821585317928,0.3300211561537532,True,False
8339,8339,,unclassified,107.1489165790209,7.583929818099695,0.8126098634207134,True,False
8340,8340,,unclassified,192.03724417646356,2.231948416217322,0.428617222994397,True,False
8341,8341,,unclassified,125.13879726393586,0.0,0.0,True,False
8342,8342,,unclassified,82.94793742508647,8.972554701151754,0.7442549058943011,True,False
8343,8343,,unclassified,88.41008823370368,4.362344860445398,0.3856752940178214,True,False
8344,8344,,unclassified,50.68219398768903,4.1737616843069665,0.2115353993424294,True,False
8345,8345,,residential,55.77554756030363,0.9273659647444226,0.0517243444724094,True,False
8346,8346,,residential,54.34649091307623,1.2337694247344275,0.06705103883016085,True,False
8347,8347,,unclassified,115.60806218575013,0.5307113680781247,0.061354512843460364,True,False
8348,8348,,unclassified,52.39819212638613,0.8516300790747002,0.04462387650396556,True,False
8349,8349,,unclassified,50.0724239017188,9.800605015412414,0.4907400488250417,True,False
8350,8350,,unclassified,51.261235231490424,2.5773694973548733,0.1321191440823764,True,False
8351,8351,,unclassified,45.571443265679875,0.15295970215732807,0.006970594388797967,True,False
8352,8352,,unclassified,55.278240112431874,3.0553962252811515,0.16889692617970947,True,False
8353,8353,,unclassified,49.61811735139198,0.0,0.0,True,False
8354,8354,,unclassified,149.72758534452313,3.0198826562822627,0.4521597381489477,True,False
8355,8355,,unclassified,112.64711780668436,0.9707373376980407,0.10935076323901834,True,False
8356,8356,,unclassified,80.92985550056059,0.06505427547806779,0.005264833114133689,True,False
